Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls
2024.0,Abdul Samad,50.0,10.0,577.0,33.0,14.42,395.0,146.08,0.0,0.0,37.0,36.0,27.0,0.0,50.0,54.0,113.0,2.0,1/9,56.5,12.56,27.0,0.0,0.0
2024.0,Abhinav Manohar,19.0,1.0,231.0,43.0,12.83,174.0,132.76,0.0,0.0,21.0,10.0,10.0,0.0,19.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Abhishek Sharma,63.0,7.0,1377.0,75.0,24.59,887.0,155.24,0.0,7.0,128.0,73.0,18.0,0.0,63.0,270.0,389.0,11.0,2/4,35.36,8.64,24.55,0.0,0.0
2024.0,Abishek Porel,18.0,2.0,360.0,65.0,22.5,236.0,152.54,0.0,2.0,37.0,15.0,6.0,0.0,18.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2020.0,Adam Zampa,11.0,0.0,5.0,5.0,0.45,8.0,62.5,0.0,0.0,1.0,0.0,0.0,0.0,14.0,287.0,370.0,21.0,6/19,17.62,7.74,13.67,0.0,1.0
2024.0,Aiden Markram,44.0,9.0,995.0,50.0,28.43,767.0,129.73,0.0,5.0,73.0,35.0,25.0,0.0,44.0,121.0,172.0,2.0,1/24,86.0,8.53,60.5,0.0,0.0
2024.0,Ajinkya Rahane,185.0,17.0,4642.0,74.0,27.63,3761.0,123.42,2.0,30.0,478.0,103.0,71.0,0.0,181.0,6.0,5.0,1.0,1/5,5.0,5.0,6.0,0.0,0.0
2024.0,Akash Deep,8.0,1.0,19.0,17.0,2.71,12.0,158.33,0.0,0.0,2.0,1.0,3.0,0.0,8.0,164.0,319.0,7.0,3/45,45.57,11.67,23.43,0.0,0.0
2024.0,Akash Madhwal,13.0,1.0,4.0,0.0,0.33,5.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,262.0,424.0,19.0,5/5,22.32,9.71,13.79,1.0,1.0
2023.0,Akash Singh,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,138.0,227.0,5.0,2/40,45.4,9.87,27.6,0.0,0.0
2024.0,Andre Russell,126.0,20.0,2484.0,66.0,23.43,1420.0,174.93,0.0,11.0,170.0,209.0,35.0,0.0,127.0,1697.0,2646.0,115.0,3/19,23.01,9.36,14.76,2.0,1.0
2024.0,Angkrish Raghuvanshi,10.0,0.0,163.0,54.0,16.3,105.0,155.24,0.0,1.0,16.0,8.0,4.0,0.0,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Anrich Nortje,46.0,9.0,49.0,4.0,1.32,49.0,100.0,0.0,0.0,6.0,0.0,10.0,0.0,46.0,1054.0,1574.0,60.0,3/33,26.23,8.96,17.57,0.0,0.0
2024.0,Anshul Kamboj,3.0,1.0,2.0,0.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,60.0,114.0,2.0,1/24,57.0,11.4,30.0,0.0,0.0
2024.0,Anuj Rawat,24.0,5.0,318.0,66.0,16.74,267.0,119.1,0.0,1.0,26.0,14.0,17.0,0.0,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Anukul Roy,9.0,3.0,26.0,0.0,4.33,24.0,108.33,0.0,0.0,3.0,0.0,5.0,0.0,11.0,136.0,191.0,5.0,2/19,38.2,8.43,27.2,0.0,0.0
2024.0,Arjun Tendulkar,5.0,0.0,13.0,13.0,2.6,9.0,144.44,0.0,0.0,0.0,1.0,0.0,0.0,5.0,73.0,114.0,3.0,1/9,38.0,9.37,24.33,0.0,0.0
2024.0,Arshdeep Singh,65.0,7.0,29.0,4.0,0.5,40.0,72.5,0.0,0.0,4.0,0.0,12.0,0.0,65.0,1364.0,2052.0,76.0,4/29,27.0,9.03,17.95,2.0,1.0
2024.0,Arshin Kulkarni,2.0,0.0,9.0,9.0,4.5,8.0,112.5,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Ashutosh Sharma,11.0,2.0,189.0,61.0,21.0,113.0,167.26,0.0,1.0,10.0,15.0,2.0,0.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2024.0,Atharva Taide,9.0,0.0,247.0,66.0,27.44,168.0,147.02,0.0,2.0,27.0,8.0,5.0,0.0,9.0,1.0,4.0,0.0,0/4,0.0,24.0,0.0,0.0,0.0
